CodProv,CodDist,CodPost,CodLocal,CodBairro,Provincia,Distrito,Posto,Localidade,Bairro,informal_type,count,rate
01,02,01,99,13,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Matia,unpaidfam,302.9405,0.258113887047798
01,02,01,99,13,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Matia,higheduc-wage,9.7733,0.00832712843705031
01,02,01,99,13,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Matia,employer,50.0369,0.0426328561378289
01,02,01,99,26,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Adine,loweduc-selfemp,1811.1798,0.343901961783962
01,02,01,99,26,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Adine,loweduc-wage,649.0378,0.123237556366268
01,02,01,99,26,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Adine,higheduc-selfemp,358.8495,0.0681373804164522
01,02,01,99,26,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Adine,unpaidfam,1003.6423,0.190568907570285
01,02,01,99,26,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Adine,employer,100.8335,0.0191459944857728
01,02,01,99,26,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Adine,higheduc-wage,1343.0156,0.255008199377259
01,02,01,99,27,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Marocotela,loweduc-selfemp,151.7837,0.171998376831801
01,02,01,99,27,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Marocotela,higheduc-wage,361.251,0.409362702509327
01,02,01,99,27,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Marocotela,loweduc-wage,129.7201,0.146996328607478
01,02,01,99,27,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Marocotela,unpaidfam,70.3655,0.0797368346203057
01,02,01,99,27,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Marocotela,higheduc-selfemp,29.7869,0.0337539436108829
01,02,01,99,27,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Marocotela,employer,139.5645,0.158151813820205
01,03,01,01,99,Niassa,Lago,Metangula,Vila de Metangula,Nao Aplicavel,unpaidfam,382.7337,0.147586900573556
01,03,01,01,99,Niassa,Lago,Metangula,Vila de Metangula,Nao Aplicavel,higheduc-wage,394.1433,0.151986585003707
01,03,01,01,99,Niassa,Lago,Metangula,Vila de Metangula,Nao Aplicavel,employer,61.3615,0.0236617616884645
